,release_date,movie,worldwide,India_hindi_net,india_gross,overseas,budget,verdict
178,11-02-2022,Badhaai Do,28.15,21.29,25.15,3,30,Disaster
179,24-12-2021,83,193,104.13,129,64,220,Disaster
180,17-12-2021,Pushpa: The Rise (Part 1),350.1,106.35,313.8,36.3,150,Blockbuster
181,16-12-2021,Spider-Man: No Way Home,15700,49.76,271,9010,1500,
182,10-12-2021,Velle,,1.13,,,1,
183,10-12-2021,Chandigarh Kare Aashiqui,30.2,22.4,24.7,5.5,40,
184,03-12-2021,Tadap,33,26.81,30.9,2.1,20,
185,02-12-2021,Marakkar: Lion of the Arabian Sea,45.4,0.006,22.4,23,100,
186,26-11-2021,Antim: The Final Truth,58.5,39.57,46.8,11.7,35,
187,25-11-2021,Satyameva Jayate 2,15,14.16,12.4,2.6,60,
188,19-11-2021,Shubh Raatri,0.0001,0.0001,0.0001,0,1,
189,19-11-2021,Bunty Aur Babli 2,20.5,11.9,14,6.5,30,
190,12-11-2021,Kurup,78,0.2,43.9,34.1,35,
191,12-11-2021,Nirbhaya,0.05,0.04,0.05,0,1,
192,05-11-2021,Eternals,1300,7.77,32.6,670,1500,
193,05-11-2021,Sooryavanshi,293,195.55,230.8,62.2,180,SuperHit
194,29-10-2021,Dilphire,0.001,0.001,0.001,0,1,Disaster
195,29-10-2021,Bekhudi,0.06,0.05,0.06,0,1,Disaster
196,14-10-2021,Venom: Let There Be Carnage,1460,6.87,3.71,340,820,
197,30-09-2021,No Time To Die,1100,3.91,19.2,1100,1850,
198,17-09-2021,Free Guy,,0,,,1,
199,17-09-2021,Don't Breathe 2,,0,,,1,
200,10-09-2021,Thalaivii,8.5,1.81,8.5,0,60,
201,03-09-2021,Faactory,0.01,0.01,0.01,0,1,Disaster
202,03-09-2021,Shang-Chi and the Legend of the Ten Rings,930,7.12,12.63,410,1150,
203,27-08-2021,Chehre,4.3,3.2,3.8,0.5,1,
204,19-08-2021,Bell Bottom,53.7,33.31,39.4,14.3,180,Flop
205,13-05-2021,Radhe,18.61,0.01,0.01,18.6,100,
206,16-04-2021,99 Songs,0.06,0.01,0.06,0,7,
207,02-04-2021,Koi Jaane Na,0.22,0.19,0.22,0,1,
208,26-03-2021,Ab Ye Galtiyan Na Ho,0.07,0.06,0.07,0,1,Disaster
209,26-03-2021,Hum Hum Hain,0.03,0.03,0.03,0,1,Disaster
210,26-03-2021,Saina,1.5,1.1,1.3,0.2,25,Disaster
211,24-03-2021,Godzilla vs. Kong,3800,7.2,59,2900,1300,
212,19-03-2021,Sandeep Aur Pinky Faraar,0.4,0.32,0.37,0.03,15,Disaster
213,19-03-2021,Mumbai Saga,22,16.5,19.2,2.8,40,Flop
214,19-03-2021,Ahaan,0.03,0.03,0.03,0,1,Disaster
215,19-03-2021,Mosagallu,1.65,0.04,1.5,0.15,51,
216,12-03-2021,Time To Dance,0.1,0.09,0.1,0,1,Disaster
217,11-03-2021,Mera Fauji Calling,0.52,0.46,0.52,0,1,Disaster
218,11-03-2021,Roohi,28.7,21.93,25.7,3,25,Average
219,26-02-2021,My Client's Wife,0.03,0.03,0.03,0,1,Disaster
220,26-02-2021,Ammaa Ki Boli,0.03,0.03,0.03,0,1,Disaster
221,19-02-2021,Chakra,18.8,0.59,18.3,0.5,35,Disaster
222,19-02-2021,Tuesdays And Fridays,0.29,0.22,0.26,0.03,1,Disaster
223,19-02-2021,Tom and Jerry,415,0.6,3.6,250,580,
224,19-02-2021,Tank Cleaner,0.03,0.03,0.03,0,1,Disaster
225,12-02-2021,Meera Mathur,0.05,0.04,0.05,0,2,Disaster
226,12-02-2021,Sakshi,0.06,0.05,0.06,0,1,Disaster
227,05-02-2021,Monster Hunter,93,0.2,4.2,76,1,Below Average
228,29-01-2021,Satya Sai Baba,0.05,0.04,0.05,0,3,Disaster
229,29-01-2021,Maassab,0.07,0.06,0.07,0,1,Disaster
230,29-01-2021,Cheer Haran,0.08,0.07,0.08,0,1,Disaster
231,22-01-2021,Madam Chief Minister,0.76,0.64,0.72,0.04,1,Disaster
232,15-01-2021,Bolo Hau,0.23,0.2,0.23,0,4,Disaster
233,13-01-2021,Master,223,2.65,178.75,44.25,135,Below Average
234,08-01-2021,12 'O' Clock,0.37,0.33,0.37,0,10,Flop
235,07-01-2021,Kaagaz,0.23,0.21,0.23,0,7,Disaster
236,01-01-2021,Ramprasad Ki Tehrvi,1.87,1.57,1.87,0,10,Below Average
237,25-12-2020,Shakeela,0.53,0.45,0.53,0,1,
238,24-12-2020,Wonder Woman 1984,640,0.7,13,515,1450,
239,18-12-2020,Sayonee,0.35,0.31,0.35,0,1,
240,11-12-2020,Indoo Ki Jawani,2.4,1.59,1.9,0.5,1,
241,04-12-2020,Tenet,2650,0.9,10.6,2220,1500,
242,15-11-2020,Suraj Pe Mangal Bhari,4.7,3.3,3.8,0.9,25,
243,09-11-2020,Laxmii,4.08,0,0,4.08,50,
244,24-07-2020,Dil Bechara,1,0,0,1,40,
245,13-03-2020,Angrezi Medium,15,10.21,12,3,1,
246,06-03-2020,Kaamyaab,2,1.6,1.9,0.1,7,
247,06-03-2020,Baaghi 3,137,96.5,114,23,100,Below Average
248,28-02-2020,Thappad,43,30.53,36,7,22,Average
249,21-02-2020,Bhoot Part One,39.5,31.1,36.5,3,50,Flop
250,21-02-2020,Shubh Mangal Zyada Saavdhan,83,62.05,73,10,35,Average
251,14-02-2020,Love Aaj Kal,56.9,40.06,46.9,10,60,Flop
252,07-02-2020,Hacked,0.3,0.2,0.25,0.05,1,
253,07-02-2020,Shikara,11.5,8.25,10,1.5,25,Flop
254,07-02-2020,Malang,80,59.84,70,10,50,Above Average
255,31-01-2020,Happy Hardy and Heer,0.9,0.76,0.9,0,10,Disaster
256,31-01-2020,Jawaani Jaaneman,42,27.15,32.5,9.5,40,
257,24-01-2020,Panga,40,27.34,32,8,49,Flop
258,24-01-2020,Street Dancer 3D,102,73.97,87,15,100,Below Average
259,17-01-2020,Dolittle,450,0.55,7.5,203,1230,
260,17-01-2020,Jai Mummy Di,3,2.25,2.6,0.4,20,
261,10-01-2020,Chhapaak,55.5,34.93,40.5,15,50,Flop
262,10-01-2020,Tanhaji: The Unsung Warrior,361,277.75,325,36,150,Blockbuster
263,09-01-2020,Darbar,247.8,3.72,173.8,74,200,Flop
264,03-01-2020,Acid (Astounding Courage In Distress),0.14,0.12,0.14,0,1,
265,03-01-2020,Sab Kushal Mangal,1.4,1.15,1.35,0.05,15,
266,03-01-2020,Shimla Mirchi,0.34,0.3,0.34,0,10,
267,03-01-2020,Bhangra Paa Le,2.9,2.5,2.8,0.1,8,
268,03-01-2020,English Ki Taay Taay Fisss,0.05,0.04,0.05,0,5,
269,27-12-2019,Good Newwz,316,205.09,242,74,60,Blockbuster
270,20-12-2019,Dabangg 3,218,146.23,178,40,90,Above Average
271,13-12-2019,The Body,3.4,2.65,3.1,0.3,30,Disaster
272,13-12-2019,Mardaani 2,67,47.35,57,10,30,Hit
273,12-12-2019,Mamangam,57.4,0.2,37.4,20,55,Above Average
274,06-12-2019,Panipat,49,33.87,40,9,80,Disaster
275,06-12-2019,Pati Patni Aur Woh,109,84.56,99,10,40,Hit
276,29-11-2019,Commando 3,9.8,32.04,7.8,2,40,Above Average
277,22-11-2019,Pagalpanti,51,41.2,47,4,60,Flop
278,15-11-2019,Motichoor Chaknachoor,2.4,1.8,2.15,0.25,20,Disaster
279,15-11-2019,Marjaavaan,62,48.04,55.5,6.5,50,Average
280,08-11-2019,Satellite Shankar,1,0.65,0.8,0.2,30,Disaster
281,08-11-2019,Bypass Road,1.5,1,1.2,0.3,20,Disaster
282,08-11-2019,Bala,162,116.38,135,27,35,SuperHit
283,01-11-2019,Ujda Chaman,16.7,12.86,15.2,1.5,20,Flop
284,25-10-2019,Saand Ki Aankh,31,23.67,28,3,20,Above Average
285,25-10-2019,Made In China,16.2,12.3,14.5,1.7,25,Flop
286,25-10-2019,Housefull 4,296,210.3,247,49,175,SuperHit
287,18-10-2019,Laal Kaptaan,4.5,3.19,3.8,0.7,40,Disaster
288,11-10-2019,The Sky Is Pink,28.5,20.2,23.5,5,24,Flop
289,02-10-2019,Sye Raa Narasimha Reddy,246.6,11.03,216.6,30,275,Disaster
290,02-10-2019,War,471,303.34,375,96,150,Blockbuster
291,20-09-2019,Pal Pal Dil Ke Paas,12.5,9,10.5,2,30,Disaster
292,20-09-2019,The Zoya Factor,8.3,4.8,6.8,1.5,30,Disaster
293,20-09-2019,Prassthanam,10.2,6.8,8.2,2,40,Disaster
294,13-09-2019,Section 375,22,17,20,2,20,Below Average
295,13-09-2019,Dream Girl,195,141.3,163,32,30,SuperHit
296,12-09-2019,Pailwaan,52.45,2.39,48.45,4,40,Disaster
297,06-09-2019,Chhichhore,211,153.16,180,31,70,Blockbuster
298,30-08-2019,Saaho,451,145.67,359,92,350,Hit
299,15-08-2019,Batla House,127,99.24,116,11,50,Hit
300,15-08-2019,Mission Mangal,290,203.08,236,54,40,Blockbuster
301,09-08-2019,Jabariya Jodi,25.24,18.85,22.24,3,30,Flop
302,26-07-2019,Arjun Patiala,12.3,8.65,10.3,2,25,Disaster
303,26-07-2019,Judgementall Hai Kya,49.5,34.45,41.1,8.4,35,Average
304,19-07-2019,Jhootha Kahin Ka,0.6,0.5,0.6,0,15,Disaster
305,12-07-2019,Super 30,210,147.39,171,39,60,SuperHit
306,05-07-2019,Malaal,3.3,2.8,3.3,0,10,Disaster
307,28-06-2019,Article 15,94,66,79,15,25,SuperHit
308,21-06-2019,Kabir Singh,377,278.8,330,47,55,All Time Blockbuster
309,14-06-2019,Game Over,16,4.87,14.7,1.3,20,Below Average
310,05-06-2019,Bharat,321,212.03,251,70,165,Hit
311,24-05-2019,PM Narendra Modi,35.2,28.51,33.7,1.5,20,Above Average
312,24-05-2019,India's Most Wanted,18,13.2,15.5,2.5,30,Disaster
